45844,47,M,1
11737,16,M,0
52929,51,F,1
27896,33,F,1
10479,14,F,0
222,1,M,0
84057,76,F,1
20329,26,M,0
71530,65,F,1
86628,79,F,0
60885,57,M,1
30317,35,F,1
42470,45,M,0
57510,54,F,1
15547,20,F,0
90826,84,F,3
84876,77,F,1
49490,49,F,1
73757,67,F,1
57130,54,F,1
93548,89,F,3
24916,30,F,1
90032,83,F,1
48904,49,M,1
33745,38,F,1
91486,85,F,3
5178,8,M,0
31859,37,M,0
67893,62,F,1
5266,8,M,0
42290,44,F,1
53679,52,M,1
51910,51,M,1
47252,48,M,1
91595,85,F,3
2443,4,F,0
89709,82,F,3
39264,42,F,1
5524,8,F,0
60408,56,F,1
34292,39,M,0
52761,51,F,1
65629,60,F,1
5589,8,F,0
38347,42,M,0
76821,70,M,1
40088,43,M,1
87823,80,F,1
27469,33,M,1
15754,21,M,0
88262,81,M,1
85294,78,M,1
13828,18,F,0
15880,21,M,0
69661,64,M,0
46423,47,F,0
94141,91,F,3
76696,70,M,1
23667,29,F,0
43920,45,F,1
53913,52,F,0
7148,10,F,0
53886,52,F,0
71563,65,F,1
2894,5,M,0
57626,54,F,2
11726,16,M,0
16934,22,M,0
44256,46,M,1
11896,16,M,0
86873,79,F,1
62896,58,F,1
51314,50,F,1
89936,83,M,3
89284,82,F,0
13527,18,M,0
63771,59,M,1
91843,86,M,3
11154,15,F,0
32896,38,M,0
58399,55,M,2
41041,44,M,0
46577,47,F,1
64804,60,M,0
69958,64,M,1
30519,36,M,0
49073,49,M,1
82057,74,F,1
84408,77,M,1
73696,67,F,0
7541,11,M,0
69908,64,M,1
55344,53,M,2
28276,34,M,0
2782,5,M,0
12796,17,M,0
69603,63,F,3
38069,42,M,0
34855,39,F,0
63959,59,M,1
13662,18,F,0
30875,36,M,1
42597,45,M,0
55724,53,F,1
25741,31,F,0
27251,33,M,0
39266,42,F,1
27488,33,M,1
6416,9,F,0
1523,3,M,0
7420,10,F,0
24296,30,M,0
63539,59,M,0
79964,72,F,1
5655,8,F,0
7978,11,F,0
3986,6,F,0
64286,59,F,1
25117,31,M,0
83535,76,M,1
8185,11,F,0
76673,70,M,1
54361,52,F,1
85891,78,F,1
4662,7,F,0
64092,59,F,0
21238,27,M,0
78765,71,F,1
25729,31,F,0
34169,39,M,0
19502,25,M,0
29901,35,F,0
33384,38,M,1
34386,39,M,0
62493,58,M,1
65641,60,F,1
60039,56,F,0
61780,57,F,1
51092,50,F,1
51709,51,M,0
19951,25,F,0
16815,22,M,0
31023,36,F,0
70798,64,F,2
17601,23,M,0
31606,37,M,0
61496,57,F,1
13673,18,F,0
56649,54,M,1
61314,57,M,2
38423,42,M,1
7304,10,F,0
20914,26,F,0
59092,55,F,1
86979,79,F,3
27885,33,F,1
19034,24,F,1
