82356,26,F,2,S28000415
22301,1,F,9,S28000356
59831,74,F,1,S28000392
45777,14,M,5,S28000379
97504,27,M,8,S28000429
75987,31,F,2,S28000409
60890,52,M,2,S28000395
19599,25,M,5,S28000352
87747,70,M,1,S28000422
18499,38,M,9,S28000351
15549,7,F,9,S28000349
8345,34,F,2,S28000344
52408,72,F,1,S28000383
99617,18,M,14,S28000461
26863,18,M,8,S28000361
5141,34,M,4,S28000342
57797,41,M,4,S28000390
30307,59,F,4,S28000363
1770,20,F,8,S28000339
86884,22,F,8,S28000421
91803,9,M,11,S28000425
87193,69,F,3,S28000421
80936,60,F,6,S28000412
53859,14,M,9,S28000385
8676,63,F,4,S28000344
25536,24,F,11,S28000359
29221,43,M,2,S28000363
39806,12,M,5,S28000373
74013,80,F,1,S28000406
72103,58,F,2,S28000405
38833,34,F,2,S28000371
65378,12,M,5,S28000400
21830,28,M,2,S28000356
42677,31,F,11,S28000375
81837,56,M,4,S28000415
80019,61,M,2,S28000412
44,23,M,8,S28000336
88974,50,M,6,S28000423
64402,56,F,6,S28000398
35731,75,M,4,S28000368
76147,43,F,5,S28000409
60076,11,F,5,S28000393
85245,22,F,4,S28000419
69364,45,F,5,S28000403
48864,25,M,6,S28000381
46226,63,M,2,S28000379
101115,1,M,5,S28000462
75280,40,M,4,S28000409
18049,70,F,1,S28000350
10599,18,M,4,S28000346
68291,18,M,11,S28000403
64038,32,F,4,S28000398
79424,52,F,2,S28000411
48705,17,M,6,S28000381
13466,80,F,1,S28000347
6540,20,M,14,S28000343
29087,24,M,6,S28000363
102460,39,M,4,S28000468
16996,61,M,4,S28000350
43187,26,F,5,S28000376
43288,80,F,1,S28000376
12117,20,M,12,S28000347
3077,51,F,2,S28000340
95372,80,F,3,S28000427
55817,51,F,2,S28000386
92452,1,F,11,S28000425
72239,79,F,1,S28000405
79141,19,F,11,S28000411
60749,80,F,1,S28000394
73315,1,F,5,S28000406
45657,80,F,1,S28000378
88826,45,M,8,S28000423
49065,64,M,12,S28000381
100878,50,F,5,S28000461
14538,44,F,12,S28000348
2923,25,F,2,S28000340
30193,44,F,11,S28000363
78017,31,F,8,S28000410
3677,44,M,8,S28000341
101608,54,M,8,S28000462
2675,50,M,5,S28000340
86871,19,F,5,S28000421
1995,46,F,5,S28000339
60272,69,F,1,S28000393
101200,5,M,11,S28000462
27789,75,F,12,S28000361
60356,10,M,11,S28000394
83814,35,F,8,S28000416
51097,30,F,6,S28000382
9675,12,F,5,S28000345
95244,64,F,10,S28000427
70505,2,F,11,S28000404
21988,28,M,8,S28000356
44677,20,M,11,S28000378
26882,21,M,12,S28000361
60335,9,M,9,S28000394
63007,32,M,2,S28000398
27791,69,F,12,S28000361
39866,23,M,5,S28000373
28861,73,F,3,S28000362
43911,8,F,5,S28000377
52158,47,F,6,S28000383
14981,17,M,11,S28000349
66475,27,M,2,S28000401
36622,28,M,2,S28000369
48684,19,M,2,S28000381
102312,70,F,1,S28000462
71571,57,M,2,S28000405
53195,6,F,11,S28000384
84835,27,M,2,S28000419
44918,56,M,4,S28000378
8028,65,M,3,S28000344
24965,21,M,14,S28000359
35556,53,M,2,S28000368
55272,33,M,12,S28000386
76430,62,F,5,S28000409
54503,21,F,11,S28000385
19558,27,M,2,S28000352
24928,22,M,8,S28000359
36909,3,F,9,S28000369
9556,73,M,1,S28000345
11362,33,F,4,S28000346
8391,43,F,4,S28000344
70454,1,F,5,S28000404
74585,14,F,11,S28000408
4167,19,F,14,S28000341
74241,23,M,6,S28000408
16929,37,M,12,S28000350
42033,1,M,5,S28000375
89044,69,M,1,S28000423
12121,24,M,12,S28000347
37700,20,F,14,S28000370
46877,55,F,2,S28000379
14280,15,F,11,S28000348
87719,52,M,11,S28000422
76405,51,F,4,S28000409
